1jVihdmkKqVd6jHodJdwxK-lXt7YksSBg,Syllabus
1GeX8zl8y9UIkcJ-nXiCViyje1d4n9RK9,Lab
1wb0iwtkhk2wuzcGDTbxikwAzPVrAE7ge,Books
14O38RotoXO7G0Ci3VhXckEYw9i5lMB2D,Notes & Slides
1cfgqobPbrAguODL3lV9N4Pa7RqVOc1Hs,Previous Year Papers
 third-year/cse/softeng.html,
1v60vBuFtWcXAL-aQyf_E5pu3SQ5iDBSo,Lab
1KcCi7mBTlMBxanJZfcU22eiO6OK1GTFZ,Books
1ag7H_5GvmM4HErdZiNmgxk_EdiAXYNl0,Notes & Slides
1ROrBbfMIG0kD3CFUS8Ukziq7Xg2ld1Fs,Previous Year Papers
 third-year/cse/embeddedsys.html,
11fhVnwMT9jwEAimEIt3zxf4xztTWUu3c,Syllabus
1hNtuDqUlkognC2vyM7GnjbmTepCeumoQ,Lab
1soRmNoych9XS78DuFO1HQLtcxLHxigUc,Books
"12eFiw7sqcCuTOkkxFytzugFPbrjT6JuS
        ",Notes & Slides
"1cW9aXVbQlgGzxGDY3rarGnQ0r4FCDl5e
        ",Previous Year Papers
 third-year/cse/machinelearning.html,
"14usany7y80NDQkasoaWix8qCpRVHDjbC
        ",Lab
"1mYfZ1X7i6sQdjWqUuIglPu8D8iKTkaks
        ",Notes & Slides
"17Ge-UvIUXWgtpAf0rLVCQhTqhL8f4Iht
        ",Previous Year Papers
 third-year/cse/Branch Electives/nlp.html,
1QIjW2hdj7L9E2yUBwY8TWLgobCbz5GVp,Notes & Slides
"1Un_7_jIeP9CJEm4AbFkz7poTxH6mVP3h
        ",Lab
"1VUjoEASMvNBvpO0499wV6k_3grrW59wc
        ",Previous Year Papers
 third-year/cse/Branch Electives/matrix_computation.html,
18q2pau0fTDGA7LV9REg3e63RAfztIBzR,Syllabus
1-EHP7arorW7JDdaaOc7hgIwGN1ueuYqM,Books
 third-year/cse/Branch Electives/gpucomputing.html,
1iDmlwKW-oI5N-3_52Jep9Kyv3YPe3LkB,Books
1ZnYEP1HfpSJ6WDQBmkkCTZnY4h9dP7aU,Lab Assignment
1b3M1QryiDuw6iNhfQA8PZYnm8MaiD0Yy,Notes & Slides
1HmN0WH8vEjHyV-lpgUxSSvnj--VOBMG1,Previous Year Papers
 third-year/cse/Branch Electives/mathematicalmodelling.html,
1B8iNIY3yxPeyH3yHl7f4wnVbN6Cihs_-,Syllabus
1QEk15XzOcVbScdYveBDe4iq_DK9fzZhr,Books
1RJaj25GdaB-eHI6nrgOr7Yoi9yF__Qvv,Lab Assignment
1-ezl2dHAYpi-qOOfsuVb6NEDdjVyoq6A,Notes & Slides
 third-year/cse/Branch Electives/financial_mathematics.html,
1AbQbEmLGnmHx7cdYqXI806gIXeHYdS0-,Syllabus
1zoRSiziq3qEjXA6O3ky422eP3QqQNcMQ,Tutorials
1-9cnR9TijAFs8einH2wvcktJ_A-MozFZ,Books
 third-year/cse/Branch Electives/cloudcomputing.html,
1xJwXvMjjsPrGEEoWb67uR8IrFNv4VCfN,Previous Year Papers
1EMZIQWdXETtf33IpECikaQDVhwB-MzEh,Lab Assignment
17oDDIIBQUsg4V84uDqzyBEq6NSKF91s6,Notes & Slides
1FW3dxG5Xzf5-RI3DYNiaBgPY7RxuNHfV,Books
 third-year/cse/Branch Electives/secureCoding.html,
18WqkJNGZwLdAhHa1o1kzsH3LgW0NTkih,Previous Year Papers
1V8oCzrh12ELyS0pMLL6wxx9XZtZo0-hB,"Lab
            Assignment"
1tfeYcs6ptI2xVzNSQv6fgQqiwXINM0bz,"Notes &
            Slides"
 third-year/cse/Branch Electives/pdc.html,
