"
      UBT602
    ","
      Bio Infoand Stats
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Biotech,bio-infoandbio-stat.html,,,,
"
            UCSXXX
        ","
            NaturalLanguageProcessing
        ",Notes & Slides,third-year,1QIjW2hdj7L9E2yUBwY8TWLgobCbz5GVp,cse,Branch Electives,nlp.html,,,
"
            UCSXXX
        ","
            NaturalLanguageProcessing
        ",Lab,third-year,"1Un_7_jIeP9CJEm4AbFkz7poTxH6mVP3h
        ",cse,Branch Electives,nlp.html,,,
"
            UCSXXX
        ","
            NaturalLanguageProcessing
        ",Previous Year Papers,third-year,"1VUjoEASMvNBvpO0499wV6k_3grrW59wc
        ",cse,Branch Electives,nlp.html,,,
"
            UMCXXX
        ","
            MatrixComputation
",Syllabus,third-year,18q2pau0fTDGA7LV9REg3e63RAfztIBzR,cse,Branch Electives,matrix_computation.html,,,
"
            UMCXXX
        ","
            MatrixComputation
",Books,third-year,1-EHP7arorW7JDdaaOc7hgIwGN1ueuYqM,cse,Branch Electives,matrix_computation.html,,,
"
            UCS631
        ","
GPUComputing
        ",Books,third-year,1iDmlwKW-oI5N-3_52Jep9Kyv3YPe3LkB,cse,Branch Electives,gpucomputing.html,,,
"
            UCS631
        ","
GPUComputing
        ",Lab Assignment,third-year,1ZnYEP1HfpSJ6WDQBmkkCTZnY4h9dP7aU,cse,Branch Electives,gpucomputing.html,,,
"
            UCS631
        ","
GPUComputing
        ",Notes & Slides,third-year,1b3M1QryiDuw6iNhfQA8PZYnm8MaiD0Yy,cse,Branch Electives,gpucomputing.html,,,
"
            UCS631
        ","
GPUComputing
        ",Previous Year Papers,third-year,1HmN0WH8vEjHyV-lpgUxSSvnj--VOBMG1,cse,Branch Electives,gpucomputing.html,,,
"
      UMC511
    ","
      Mathematical
      Modeling&simulation
    ",Syllabus,third-year,1B8iNIY3yxPeyH3yHl7f4wnVbN6Cihs_-,cse,Branch Electives,mathematicalmodelling.html,,,
"
      UMC511
    ","
      Mathematical
      Modeling&simulation
    ",Books,third-year,1QEk15XzOcVbScdYveBDe4iq_DK9fzZhr,cse,Branch Electives,mathematicalmodelling.html,,,
